group,variable,value,datatype,min_val,max_val
symboling,1000,3,int,-2,3
symboling,1001,3,float,65,256
symboling,1002,1,string,0,21
symboling,1003,2,string,0,1
symboling,1004,2,string,0,1
symboling,1005,2,string,0,2
symboling,1006,1,string,0,4
symboling,1007,1,string,0,2
symboling,1008,1,string,0,1
symboling,1009,0,float,86.6,120.9
symboling,1010,2,float,141.1,208.1
symboling,1011,0,float,60.3,72.3
symboling,1012,0,float,47.8,59.8
symboling,1013,0,int,1488,4066
symboling,1014,1,string,0,6
symboling,1015,0,string,0,6
symboling,1016,0,int,61,326
symboling,1017,0,string,0,7
symboling,1018,2,float,2.54,3.94
symboling,1019,1,float,2.07,4.17
normalized-losses,1000,missing value,float,7,23
normalized-losses,1001,missing value,float,48,288
normalized-losses,1002,missing value,float,4150,6600
normalized-losses,1003,164,int,13,49
normalized-losses,1004,164,int,16,54
normalized-losses,1005,missing value,float,5118,45400
normalized-losses,1006,158,int,-2,3
normalized-losses,1007,missing value,float,65,256
normalized-losses,1008,158,string,0,21
normalized-losses,1009,missing value,string,0,1
normalized-losses,1010,192,string,0,1
normalized-losses,1011,192,string,0,2
normalized-losses,1012,188,string,0,4
normalized-losses,1013,188,string,0,2
normalized-losses,1014,missing value,string,0,1
normalized-losses,1015,missing value,float,86.6,120.9
normalized-losses,1016,missing value,float,141.1,208.1
normalized-losses,1017,missing value,float,60.3,72.3
normalized-losses,1018,121,float,47.8,59.8
normalized-losses,1019,98,int,1488,4066
make,1000,alfa-romero,string,0,6
make,1001,alfa-romero,string,0,6
make,1002,alfa-romero,int,61,326
make,1003,audi,string,0,7
make,1004,audi,float,2.54,3.94
make,1005,audi,float,2.07,4.17
make,1006,audi,float,7,23
make,1007,audi,float,48,288
make,1008,audi,float,4150,6600
make,1009,audi,int,13,49
make,1010,bmw,int,16,54
make,1011,bmw,float,5118,45400
make,1012,bmw,int,-2,3
make,1013,bmw,float,65,256
make,1014,bmw,string,0,21
make,1015,bmw,string,0,1
make,1016,bmw,string,0,1
make,1017,bmw,string,0,2
make,1018,chevrolet,string,0,4
make,1019,chevrolet,string,0,2
fuel-type,1000,gas,string,0,1
fuel-type,1001,gas,float,86.6,120.9
fuel-type,1002,gas,float,141.1,208.1
fuel-type,1003,gas,float,60.3,72.3
fuel-type,1004,gas,float,47.8,59.8
fuel-type,1005,gas,int,1488,4066
fuel-type,1006,gas,string,0,6
fuel-type,1007,gas,string,0,6
fuel-type,1008,gas,int,61,326
fuel-type,1009,gas,string,0,7
fuel-type,1010,gas,float,2.54,3.94
fuel-type,1011,gas,float,2.07,4.17
fuel-type,1012,gas,float,7,23
fuel-type,1013,gas,float,48,288
fuel-type,1014,gas,float,4150,6600
