group,variable,value
symboling,1000,3
symboling,1001,3
symboling,1002,1
symboling,1003,2
symboling,1004,2
symboling,1005,2
symboling,1006,1
symboling,1007,1
symboling,1008,1
symboling,1009,0
symboling,1010,2
symboling,1011,0
symboling,1012,0
symboling,1013,0
symboling,1014,1
symboling,1015,0
symboling,1016,0
symboling,1017,0
symboling,1018,2
symboling,1019,1
normalized-losses,1000,?
normalized-losses,1001,?
normalized-losses,1002,?
normalized-losses,1003,164
normalized-losses,1004,164
normalized-losses,1005,?
normalized-losses,1006,158
normalized-losses,1007,?
normalized-losses,1008,158
normalized-losses,1009,?
normalized-losses,1010,192
normalized-losses,1011,192
normalized-losses,1012,188
normalized-losses,1013,188
normalized-losses,1014,?
normalized-losses,1015,?
normalized-losses,1016,?
normalized-losses,1017,?
normalized-losses,1018,121
normalized-losses,1019,98
make,1000,alfa-romero
make,1001,alfa-romero
make,1002,alfa-romero
make,1003,audi
make,1004,audi
make,1005,audi
make,1006,audi
make,1007,audi
make,1008,audi
make,1009,audi
make,1010,bmw
make,1011,bmw
make,1012,bmw
make,1013,bmw
make,1014,bmw
make,1015,bmw
make,1016,bmw
make,1017,bmw
make,1018,chevrolet
make,1019,chevrolet
fuel-type,1000,gas
fuel-type,1001,gas
fuel-type,1002,gas
fuel-type,1003,gas
fuel-type,1004,gas
fuel-type,1005,gas
fuel-type,1006,gas
fuel-type,1007,gas
fuel-type,1008,gas
fuel-type,1009,gas
fuel-type,1010,gas
fuel-type,1011,gas
fuel-type,1012,gas
fuel-type,1013,gas
fuel-type,1014,gas
fuel-type,1015,gas
fuel-type,1016,gas
fuel-type,1017,gas
fuel-type,1018,gas
fuel-type,1019,gas
aspiration,1000,std
aspiration,1001,std
aspiration,1002,std
aspiration,1003,std
aspiration,1004,std
aspiration,1005,std
aspiration,1006,std
aspiration,1007,std
aspiration,1008,turbo
aspiration,1009,turbo
aspiration,1010,std
aspiration,1011,std
aspiration,1012,std
aspiration,1013,std
aspiration,1014,std
aspiration,1015,std
aspiration,1016,std
aspiration,1017,std
aspiration,1018,std
aspiration,1019,std
num-of-doors,1000,two
num-of-doors,1001,two
num-of-doors,1002,two
num-of-doors,1003,four
num-of-doors,1004,four
num-of-doors,1005,two
num-of-doors,1006,four
num-of-doors,1007,four
num-of-doors,1008,four
num-of-doors,1009,two
num-of-doors,1010,two
num-of-doors,1011,four
num-of-doors,1012,two
num-of-doors,1013,four
num-of-doors,1014,four
num-of-doors,1015,four
num-of-doors,1016,two
num-of-doors,1017,four
num-of-doors,1018,two
num-of-doors,1019,two
body-style,1000,convertible
body-style,1001,convertible
body-style,1002,hatchback
body-style,1003,sedan
body-style,1004,sedan
body-style,1005,sedan
body-style,1006,sedan
body-style,1007,wagon
body-style,1008,sedan
body-style,1009,hatchback
body-style,1010,sedan
body-style,1011,sedan
body-style,1012,sedan
body-style,1013,sedan
body-style,1014,sedan
body-style,1015,sedan
