group,variable,value,type
1001,symboling,3,string
1001,normalized-losses,missing value,string
1001,make,alfa-romero,string
1001,fuel-type,gas,string
1001,aspiration,std,string
1001,num-of-doors,two,string
1001,body-style,convertible,string
1001,drive-wheels,rwd,string
1001,engine-location,front,string
1001,wheel-base,88.6,string
1001,length,168.8,string
1001,width,64.1,string
1001,height,48.8,string
1001,curb-weight,2548,string
1001,engine-type,dohc,string
1001,num-of-cylinders,four,string
1001,engine-size,130,string
1001,fuel-system,mpfi,string
1001,bore,3.47,string
1001,stroke,2.68,string
1001,compression-ratio,9,string
1001,horsepower,111,string
1001,peak-rpm,5000,string
1001,city-mpg,21,string
1001,highway-mpg,27,string
1001,price,13495,string
1002,symboling,3,string
1002,normalized-losses,missing value,string
1002,make,alfa-romero,string
1002,fuel-type,gas,string
1002,aspiration,std,string
1002,num-of-doors,two,string
1002,body-style,convertible,string
1002,drive-wheels,rwd,string
1002,engine-location,front,string
1002,wheel-base,88.6,string
1002,length,168.8,string
1002,width,64.1,string
1002,height,48.8,string
1002,curb-weight,2548,string
1002,engine-type,dohc,string
1002,num-of-cylinders,four,string
1002,engine-size,130,string
1002,fuel-system,mpfi,string
1002,bore,3.47,string
1002,stroke,2.68,string
1002,compression-ratio,9,string
1002,horsepower,111,string
1002,peak-rpm,5000,string
1002,city-mpg,21,string
1002,highway-mpg,27,string
1002,price,16500,string
1003,symboling,1,string
1003,normalized-losses,missing value,string
1003,make,alfa-romero,string
1003,fuel-type,gas,string
1003,aspiration,std,string
1003,num-of-doors,two,string
1003,body-style,hatchback,string
1003,drive-wheels,rwd,string
1003,engine-location,front,string
1003,wheel-base,94.5,string
1003,length,171.2,string
1003,width,65.5,string
1003,height,52.4,string
1003,curb-weight,2823,string
1003,engine-type,ohcv,string
1003,num-of-cylinders,six,string
1003,engine-size,152,string
1003,fuel-system,mpfi,string
1003,bore,2.68,string
1003,stroke,3.47,string
1003,compression-ratio,9,string
1003,horsepower,154,string
1003,peak-rpm,5000,string
1003,city-mpg,19,string
1003,highway-mpg,26,string
1003,price,16500,string
1004,symboling,2,string
1004,normalized-losses,164,string
1004,make,audi,string
1004,fuel-type,gas,string
1004,aspiration,std,string
1004,num-of-doors,four,string
1004,body-style,sedan,string
1004,drive-wheels,fwd,string
1004,engine-location,front,string
1004,wheel-base,99.8,string
1004,length,176.6,string
1004,width,66.2,string
1004,height,54.3,string
1004,curb-weight,2337,string
1004,engine-type,ohc,string
1004,num-of-cylinders,four,string
1004,engine-size,109,string
1004,fuel-system,mpfi,string
1004,bore,3.19,string
1004,stroke,3.4,string
1004,compression-ratio,10,string
1004,horsepower,102,string
1004,peak-rpm,5500,string
1004,city-mpg,24,string
1004,highway-mpg,30,string
1004,price,13950,string
1005,symboling,2,string
1005,normalized-losses,164,string
1005,make,audi,string
1005,fuel-type,gas,string
1005,aspiration,std,string
1005,num-of-doors,four,string
1005,body-style,sedan,string
1005,drive-wheels,4wd,string
1005,engine-location,front,string
1005,wheel-base,99.4,string
1005,length,176.6,string
1005,width,66.4,string
1005,height,54.3,string
1005,curb-weight,2824,string
1005,engine-type,ohc,string
1005,num-of-cylinders,five,string
1005,engine-size,136,string
1005,fuel-system,mpfi,string
1005,bore,3.19,string
1005,stroke,3.4,string
1005,compression-ratio,8,string
1005,horsepower,115,string
1005,peak-rpm,5500,string
1005,city-mpg,18,string
1005,highway-mpg,22,string
1005,price,17450,string
1006,symboling,2,string
1006,normalized-losses,missing value,string
1006,make,audi,string
1006,fuel-type,gas,string
1006,aspiration,std,string
1006,num-of-doors,two,string
1006,body-style,sedan,string
1006,drive-wheels,fwd,string
1006,engine-location,front,string
1006,wheel-base,99.8,string
1006,length,177.3,string
1006,width,66.3,string
1006,height,53.1,string
1006,curb-weight,2507,string
1006,engine-type,ohc,string
1006,num-of-cylinders,five,string
1006,engine-size,136,string
1006,fuel-system,mpfi,string
1006,bore,3.19,string
1006,stroke,3.4,string
1006,compression-ratio,8.5,string
1006,horsepower,110,string
1006,peak-rpm,5500,string
1006,city-mpg,19,string
1006,highway-mpg,25,string
1006,price,15250,string
1007,symboling,1,string
1007,normalized-losses,158,string
1007,make,audi,string
1007,fuel-type,gas,string
1007,aspiration,std,string
1007,num-of-doors,four,string
1007,body-style,sedan,string
1007,drive-wheels,fwd,string
1007,engine-location,front,string
1007,wheel-base,105.8,string
1007,length,192.7,string
1007,width,71.4,string
1007,height,55.7,string
1007,curb-weight,2844,string
1007,engine-type,ohc,string
1007,num-of-cylinders,five,string
1007,engine-size,136,string
1007,fuel-system,mpfi,string
1007,bore,3.19,string
1007,stroke,3.4,string
1007,compression-ratio,8.5,string
1007,horsepower,110,string
1007,peak-rpm,5500,string
1007,city-mpg,19,string
1007,highway-mpg,25,string
1007,price,17710,string
1008,symboling,1,string
1008,normalized-losses,missing value,string
1008,make,audi,string
1008,fuel-type,gas,string
1008,aspiration,std,string
1008,num-of-doors,four,string
1008,body-style,wagon,string
1008,drive-wheels,fwd,string
1008,engine-location,front,string
1008,wheel-base,105.8,string
1008,length,192.7,string
1008,width,71.4,string
1008,height,55.7,string
1008,curb-weight,2954,string
1008,engine-type,ohc,string
1008,num-of-cylinders,five,string
1008,engine-size,136,string
1008,fuel-system,mpfi,string
1008,bore,3.19,string
1008,stroke,3.4,string
1008,compression-ratio,8.5,string
1008,horsepower,110,string
1008,peak-rpm,5500,string
1008,city-mpg,19,string
1008,highway-mpg,25,string
1008,price,18920,string
1009,symboling,1,string
1009,normalized-losses,158,string
1009,make,audi,string
1009,fuel-type,gas,string
1009,aspiration,turbo,string
1009,num-of-doors,four,string
1009,body-style,sedan,string
1009,drive-wheels,fwd,string
1009,engine-location,front,string
1009,wheel-base,105.8,string
1009,length,192.7,string
1009,width,71.4,string
1009,height,55.9,string
1009,curb-weight,3086,string
1009,engine-type,ohc,string
1009,num-of-cylinders,five,string
1009,engine-size,131,string
1009,fuel-system,mpfi,string
1009,bore,3.13,string
1009,stroke,3.4,string
1009,compression-ratio,8.3,string
1009,horsepower,140,string
1009,peak-rpm,5500,string
1009,city-mpg,17,string
1009,highway-mpg,20,string
1009,price,23875,string
1010,symboling,0,string
1010,normalized-losses,missing value,string
1010,make,audi,string
1010,fuel-type,gas,string
1010,aspiration,turbo,string
1010,num-of-doors,two,string
1010,body-style,hatchback,string
1010,drive-wheels,4wd,string
1010,engine-location,front,string
1010,wheel-base,99.5,string
1010,length,178.2,string
1010,width,67.9,string
1010,height,52,string
1010,curb-weight,3053,string
1010,engine-type,ohc,string
1010,num-of-cylinders,five,string
1010,engine-size,131,string
1010,fuel-system,mpfi,string
1010,bore,3.13,string
1010,stroke,3.4,string
1010,compression-ratio,7,string
1010,horsepower,160,string
1010,peak-rpm,5500,string
1010,city-mpg,16,string
1010,highway-mpg,22,string
1010,price,missing value,string
