group,variable,value,datatype,min_val,max_val
1001,symboling,3,int,-2.0,3.0
1001,normalized-losses,missing value,float,65.0,256.0
1001,make,alfa-romero,string,0.0,21.0
1001,fuel-type,gas,string,0.0,1.0
1001,aspiration,std,string,0.0,1.0
1001,num-of-doors,two,string,0.0,2.0
1001,body-style,convertible,string,0.0,4.0
1001,drive-wheels,rwd,string,0.0,2.0
1001,engine-location,front,string,0.0,1.0
1001,wheel-base,88.6,float,86.6,120.9
1001,length,168.8,float,141.1,208.1
1001,width,64.1,float,60.3,72.3
1001,height,48.8,float,47.8,59.8
1001,curb-weight,2548,int,1488.0,4066.0
1001,engine-type,dohc,string,0.0,6.0
1001,num-of-cylinders,four,string,0.0,6.0
1001,engine-size,130,int,61.0,326.0
1001,fuel-system,mpfi,string,0.0,7.0
1001,bore,3.47,float,2.54,3.94
1001,stroke,2.68,float,2.07,4.17
1001,compression-ratio,9.0,float,7.0,23.0
1001,horsepower,111,float,48.0,288.0
1001,peak-rpm,5000,float,4150.0,6600.0
1001,city-mpg,21,int,13.0,49.0
1001,highway-mpg,27,int,16.0,54.0
1001,price,13495,float,5118.0,45400.0
1002,symboling,3,int,-2.0,3.0
1002,normalized-losses,missing value,float,65.0,256.0
1002,make,alfa-romero,string,0.0,21.0
1002,fuel-type,gas,string,0.0,1.0
1002,aspiration,std,string,0.0,1.0
1002,num-of-doors,two,string,0.0,2.0
1002,body-style,convertible,string,0.0,4.0
1002,drive-wheels,rwd,string,0.0,2.0
1002,engine-location,front,string,0.0,1.0
1002,wheel-base,88.6,float,86.6,120.9
1002,length,168.8,float,141.1,208.1
1002,width,64.1,float,60.3,72.3
1002,height,48.8,float,47.8,59.8
1002,curb-weight,2548,int,1488.0,4066.0
1002,engine-type,dohc,string,0.0,6.0
1002,num-of-cylinders,four,string,0.0,6.0
1002,engine-size,130,int,61.0,326.0
1002,fuel-system,mpfi,string,0.0,7.0
1002,bore,3.47,float,2.54,3.94
1002,stroke,2.68,float,2.07,4.17
1002,compression-ratio,9.0,float,7.0,23.0
1002,horsepower,111,float,48.0,288.0
1002,peak-rpm,5000,float,4150.0,6600.0
1002,city-mpg,21,int,13.0,49.0
1002,highway-mpg,27,int,16.0,54.0
1002,price,16500,float,5118.0,45400.0
1003,symboling,1,int,-2.0,3.0
1003,normalized-losses,missing value,float,65.0,256.0
1003,make,alfa-romero,string,0.0,21.0
1003,fuel-type,gas,string,0.0,1.0
1003,aspiration,std,string,0.0,1.0
1003,num-of-doors,two,string,0.0,2.0
1003,body-style,hatchback,string,0.0,4.0
1003,drive-wheels,rwd,string,0.0,2.0
1003,engine-location,front,string,0.0,1.0
1003,wheel-base,94.5,float,86.6,120.9
1003,length,171.2,float,141.1,208.1
1003,width,65.5,float,60.3,72.3
1003,height,52.4,float,47.8,59.8
1003,curb-weight,2823,int,1488.0,4066.0
1003,engine-type,ohcv,string,0.0,6.0
1003,num-of-cylinders,six,string,0.0,6.0
1003,engine-size,152,int,61.0,326.0
1003,fuel-system,mpfi,string,0.0,7.0
1003,bore,2.68,float,2.54,3.94
1003,stroke,3.47,float,2.07,4.17
1003,compression-ratio,9.0,float,7.0,23.0
1003,horsepower,154,float,48.0,288.0
1003,peak-rpm,5000,float,4150.0,6600.0
1003,city-mpg,19,int,13.0,49.0
1003,highway-mpg,26,int,16.0,54.0
1003,price,16500,float,5118.0,45400.0
1004,symboling,2,int,-2.0,3.0
1004,normalized-losses,164,float,65.0,256.0
1004,make,audi,string,0.0,21.0
1004,fuel-type,gas,string,0.0,1.0
1004,aspiration,std,string,0.0,1.0
1004,num-of-doors,four,string,0.0,2.0
1004,body-style,sedan,string,0.0,4.0
1004,drive-wheels,fwd,string,0.0,2.0
1004,engine-location,front,string,0.0,1.0
1004,wheel-base,99.8,float,86.6,120.9
1004,length,176.6,float,141.1,208.1
1004,width,66.2,float,60.3,72.3
1004,height,54.3,float,47.8,59.8
1004,curb-weight,2337,int,1488.0,4066.0
1004,engine-type,ohc,string,0.0,6.0
1004,num-of-cylinders,four,string,0.0,6.0
1004,engine-size,109,int,61.0,326.0
1004,fuel-system,mpfi,string,0.0,7.0
1004,bore,3.19,float,2.54,3.94
1004,stroke,3.4,float,2.07,4.17
1004,compression-ratio,10.0,float,7.0,23.0
1004,horsepower,102,float,48.0,288.0
1004,peak-rpm,5500,float,4150.0,6600.0
1004,city-mpg,24,int,13.0,49.0
1004,highway-mpg,30,int,16.0,54.0
1004,price,13950,float,5118.0,45400.0
1005,symboling,2,int,-2.0,3.0
1005,normalized-losses,164,float,65.0,256.0
1005,make,audi,string,0.0,21.0
1005,fuel-type,gas,string,0.0,1.0
1005,aspiration,std,string,0.0,1.0
1005,num-of-doors,four,string,0.0,2.0
1005,body-style,sedan,string,0.0,4.0
1005,drive-wheels,4wd,string,0.0,2.0
1005,engine-location,front,string,0.0,1.0
1005,wheel-base,99.4,float,86.6,120.9
1005,length,176.6,float,141.1,208.1
1005,width,66.4,float,60.3,72.3
1005,height,54.3,float,47.8,59.8
1005,curb-weight,2824,int,1488.0,4066.0
1005,engine-type,ohc,string,0.0,6.0
1005,num-of-cylinders,five,string,0.0,6.0
1005,engine-size,136,int,61.0,326.0
1005,fuel-system,mpfi,string,0.0,7.0
1005,bore,3.19,float,2.54,3.94
1005,stroke,3.4,float,2.07,4.17
1005,compression-ratio,8.0,float,7.0,23.0
1005,horsepower,115,float,48.0,288.0
1005,peak-rpm,5500,float,4150.0,6600.0
1005,city-mpg,18,int,13.0,49.0
1005,highway-mpg,22,int,16.0,54.0
1005,price,17450,float,5118.0,45400.0
1006,symboling,2,int,-2.0,3.0
1006,normalized-losses,missing value,float,65.0,256.0
1006,make,audi,string,0.0,21.0
1006,fuel-type,gas,string,0.0,1.0
1006,aspiration,std,string,0.0,1.0
1006,num-of-doors,two,string,0.0,2.0
1006,body-style,sedan,string,0.0,4.0
1006,drive-wheels,fwd,string,0.0,2.0
1006,engine-location,front,string,0.0,1.0
1006,wheel-base,99.8,float,86.6,120.9
1006,length,177.3,float,141.1,208.1
1006,width,66.3,float,60.3,72.3
1006,height,53.1,float,47.8,59.8
1006,curb-weight,2507,int,1488.0,4066.0
1006,engine-type,ohc,string,0.0,6.0
1006,num-of-cylinders,five,string,0.0,6.0
1006,engine-size,136,int,61.0,326.0
1006,fuel-system,mpfi,string,0.0,7.0
1006,bore,3.19,float,2.54,3.94
1006,stroke,3.4,float,2.07,4.17
1006,compression-ratio,8.5,float,7.0,23.0
1006,horsepower,110,float,48.0,288.0
1006,peak-rpm,5500,float,4150.0,6600.0
1006,city-mpg,19,int,13.0,49.0
1006,highway-mpg,25,int,16.0,54.0
1006,price,15250,float,5118.0,45400.0
1007,symboling,1,int,-2.0,3.0
1007,normalized-losses,158,float,65.0,256.0
1007,make,audi,string,0.0,21.0
1007,fuel-type,gas,string,0.0,1.0
1007,aspiration,std,string,0.0,1.0
1007,num-of-doors,four,string,0.0,2.0
1007,body-style,sedan,string,0.0,4.0
1007,drive-wheels,fwd,string,0.0,2.0
1007,engine-location,front,string,0.0,1.0
1007,wheel-base,105.8,float,86.6,120.9
1007,length,192.7,float,141.1,208.1
1007,width,71.4,float,60.3,72.3
1007,height,55.7,float,47.8,59.8
1007,curb-weight,2844,int,1488.0,4066.0
1007,engine-type,ohc,string,0.0,6.0
1007,num-of-cylinders,five,string,0.0,6.0
1007,engine-size,136,int,61.0,326.0
1007,fuel-system,mpfi,string,0.0,7.0
1007,bore,3.19,float,2.54,3.94
1007,stroke,3.4,float,2.07,4.17
1007,compression-ratio,8.5,float,7.0,23.0
1007,horsepower,110,float,48.0,288.0
1007,peak-rpm,5500,float,4150.0,6600.0
1007,city-mpg,19,int,13.0,49.0
1007,highway-mpg,25,int,16.0,54.0
1007,price,17710,float,5118.0,45400.0
1008,symboling,1,int,-2.0,3.0
